"","handle","mm_rating","mm_events","mm_reg","algo_rating","algo_events","algo_reg","country","payments","days_as_member","gender","school","treatment","room_size","room_id","mm_rating_imputed","age","educ","prlang","risk","submission","score.prov.max","score.sys.max"
"235","smel",0.374953959484346,4,7,1991,24,30,"Russia",4000,2737.60869212963,"Male","Some school","target","Small","3D",FALSE,"20-25 years old","Postgraduate/Master of arts","Java","8",0,0,0
"236","smudge",0.365745856353591,21,39,638,135,104,"United States",1222,4964.28203703704,"Male","No school","race","Large","1H",FALSE,"31-40 years","Postgraduate/Master of arts","Other","3",10,0.79408493,0.7802401
"237","sohel_uoa",0.261141804788214,1,5,0,0,0,"Bangladesh",0,1721.90099537037,"Male","Some school","race","Large","1G",FALSE,"31-40 years","Postgraduate/Master of arts","C++","9",0,0,0
"238","Sord",0.438305709023941,21,33,1322,96,49,"United States",27407.16,5057.9452662037,"Male","No school","race","Large","1H",FALSE,"41-50 years","Undergraduate/Bachelor's degree","Java","4",0,0,0
"239","soybean",0.29097605893186,0,3,0,0,0,"United States",0,31.9516203703704,"Male","Some school","tournament","Small","2C",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","C++","10-completely willing",6,0.80540331,0.8014774
"240","StarCuriosity",0.427992633517495,0,3,1703,7,9,"Russia",0,105.09837962963,"Male","No school","tournament","Large","2F",TRUE,"20-25 years old","Postgraduate/Master of arts","C++","6",0,0,0
"241","stzgd",0.39926335174954,4,7,1950,18,21,"China",0,1040.6083912037,"Male","Some school","target","Large","3H",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","7",0,0,0
"242","sukides",0.39963167587477,2,8,940,14,16,"China",0,2532.51424768519,"Male","Some school","tournament","Large","2F",FALSE,"20-25 years old","Postgraduate/Master of arts","C++","7",0,0,0
"243","sweetkang",0.369429097605893,2,12,1563,87,100,"China",0,2463.77049768519,"Male","Some school","target","Small","3B",FALSE,"20-25 years old","Undergraduate/Bachelor's degree","C++","3",0,0,0
"244","szd714",0.429465930018416,7,34,1809,51,54,"Hungary",4902,4193.66180555556,"Male","No school","target","Large","3G",FALSE,"41-50 years","Postgraduate/Master of arts","Java","6",0,0,0
"245","T_I_W_A_R_Y",0.499079189686924,0,2,699,4,4,"India",0,722.009444444444,"Male","Some school","tournament","Large","2F",TRUE,"20-25 years old","High School","Python","10-completely willing",0,0,0
"246","TahaMahmoud",0.0843462246777164,0,5,1755,66,79,"Egypt",600,1746.33438657407,"Male","Some school","target","Small","3C",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","C++","5",0,0,0
"247","tanzaku",0.300920810313075,27,56,2151,188,212,"Japan",257.7,2951.91584490741,"Male","Some school","tournament","Small","2C",FALSE,"26-30 years","Postgraduate/Master of arts","Java","3",2,0.79408493,0.7802401
"248","Taquion",0.248250460405157,1,4,0,0,0,"Bolivia",1800,147.455451388889,"Male","No school","race","Small","1D",FALSE,"31-40 years","Postgraduate/Master of arts","Java","7",0,0,0
"249","tau0",0.510128913443831,0,2,1269,7,8,"Russia",0,289.561608796296,"Male","No school","target","Large","3H",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","C++","7",0,0,0
"250","tbell",0.406261510128913,1,4,0,0,0,"United States",0,376.676053240741,"Male","No school","tournament","Large","2G",FALSE,"41-50 years","Doctorate/PhD","C++","6",0,0,0
"251","TMALBONPH",0.340331491712707,0,27,0,0,0,"Philippines",34677.54,1790.79652777778,"Male","No school","target","Large","3H",TRUE,"51 years and above","Undergraduate/Bachelor's degree","C++","10-completely willing",15,0.80810092,0.8074818
"252","toshif",0.373848987108656,0,2,1309,16,21,"Japan",0,339.152824074074,"Male","No school","tournament","Large","2G",TRUE,"31-40 years","Postgraduate/Master of arts","Java","7",0,0,0
"253","TrePe",0.506445672191529,30,58,1630,165,196,"Slovakia",152429.18,3451.8284375,"Male","Some school","race","Large","1E",FALSE,"31-40 years","Doctorate/PhD","C++","3",0,0,0
"254","tri_code",0.240147329650092,1,17,0,0,0,"Indonesia",0,860.147314814815,"Male","No school","tournament","Large","2H",FALSE,"31-40 years","Postgraduate/Master of arts","Java","8",2,0.79408493,0.7802401
"255","trylar",0.259668508287293,0,2,0,0,1,"Russia",0,351.349652777778,"Female","Some school","race","Small","1D",TRUE,"26-30 years","Postgraduate/Master of arts","C++","7",0,0,0
"256","TwCoder",0.197421731123389,0,5,1001,19,22,"Belarus",4500,1593.5880787037,"Male","Some school","tournament","Small","2C",TRUE,"20-25 years old","Undergraduate/Bachelor's degree","Java","7",0,0,0
