Handle,Rating,MM Count,Avg Rank,Avg Submissions,Best Rank,Num Wins,Num Top 5,Num Top 10,Rank,Percentile,Volatility,Low Rating,High Rating,Country Rank,Last Round,Last Round Date,Num Ranked,Num Country Ranked,School Rank,Num School Ranked
vuchko,,,,,,0,0,0,,,,,,,,,279,0,,0
NobuMiu,1720,26,37.15384615,6.346153846,1,1,2,8,42,84.9462,468,1694,2101,7,Child Stuntedness 5,2/19/2015,279,26,,0
caustique,807,3,179.6666667,1.333333333,48,0,0,0,,,319,675,807,,TCO13 Round 2,5/1/2013,279,0,,0
gondzo,658,11,124.7272727,1.727272727,17,0,0,0,,,275,585,1087,,EPA ToxCast Challenge,4/23/2014,279,0,,0
sohel_uoa,1024,1,59,2,59,0,0,0,,,385,1024,1024,,Marathon Match,8/11/2014,279,0,,0
bdepwgjqet,,,,,,0,0,0,,,,,,,,,279,0,,0
marshmallow,1750,8,38.375,8.125,7,0,0,1,39,86.0215,221,1539,1776,1,Child Stuntedness 4,12/23/2014,279,4,1,1
Vetteru,,,,,,0,0,0,,,,,,,,,279,0,,0
windhunterSB,,,,,,0,0,0,,,,,,,,,279,0,,0
jonathanps,1521,7,21.42857143,10.28571429,4,0,2,3,63,77.4194,320,1459,1801,3,Child Stuntedness 5,2/19/2015,279,57,1,1
ltda,,,,,,0,0,0,,,,,,,,,279,0,,0
Sord,1505,25,102.44,4.4,2,0,2,3,,,336,1245,1611,,TCO13 Round 2,5/1/2013,279,0,,0
smudge,1308,28,121.1785714,3.75,5,0,1,2,,,425,806,1311,,Marathon Match,8/11/2014,279,0,,0
brev,1923,59,61.6779661,12.76271186,3,0,2,7,28,89.9642,214,1232,1931,3,Child Stuntedness 5,2/19/2015,279,10,,0
defh,904,9,155.6666667,14.88888889,2,0,1,1,,,391,709,1067,,Marathon Match 66,10/27/2010,279,0,,0
VArt,,,,,,0,0,0,,,,,,,,,279,0,,0
Fdg,800,1,413,1,413,0,0,0,,,385,800,800,,TCO10 Round 1,5/19/2010,279,0,,0
zhanyi658657,2016,11,9.818181818,11.63636364,3,0,2,6,21,92.4731,269,1864,2136,3,Child Stuntedness 5,2/19/2015,279,26,1,1
feather,992,3,97,3.333333333,45,0,0,0,,,410,843,1080,,TCO14 Round 2,5/21/2014,279,0,,0
sas4eka,1200,15,86.93333333,4.466666667,11,0,0,0,,,271,1200,1392,,Marathon Match 86,2/23/2015,279,0,,0
sampathkumarv,933,1,210,3,210,0,0,0,,,385,933,933,,Marathon Match 74,10/24/2011,279,0,,0
didi_baga,1038,15,87.93333333,5.333333333,19,0,0,0,182,34.767,215,914,1054,2,Trip Safety,1/26/2015,279,2,,0
haveri,1365,9,114,2.666666667,43,0,0,0,,,171,1355,1474,,TCO14 Round 3,6/25/2014,279,0,,0
codeshubh,,,,,,0,0,0,,,,,,,,,279,0,,0
dilip.thapa,,,,,,0,0,0,,,,,,,,,279,0,,0
chandan047,1105,4,36,1.75,22,0,0,0,150,46.2366,305,1011,1122,3,Trip Safety,1/26/2015,279,13,1,1
Nickolas,1542,16,92.125,5.125,4,0,1,2,,,248,964,1542,,Marathon Match 59,4/14/2010,279,0,,0
Mimino,1958,36,32.38888889,8.777777778,1,1,4,10,,,342,1447,2181,,Marathon Match 86,2/23/2015,279,0,,0
Kenny_HORROR,1481,6,124.3333333,14,12,0,0,0,,,246,1200,1481,,TCO11 Round 3,6/29/2011,279,0,,0
a9108tc,1805,19,43.94736842,8.684210526,2,0,4,7,35,87.4552,563,779,1845,7,Trip Safety,1/26/2015,279,26,1,3
daviduarte,1163,4,103.25,3,28,0,0,0,,,395,883,1163,,Marathon Match 82,12/6/2013,279,0,,0
blu3fox,,,,,,0,0,0,,,,,,,,,279,0,,0
omegayu,920,2,63,1.5,41,0,0,0,227,18.638,347,781,920,1,Child Stuntedness 5,2/19/2015,279,1,,0
Euniceadu,,,,,,0,0,0,,,,,,,,,279,0,,0
onjanirina,1006,13,88,3.461538462,7,0,0,1,194,30.4659,168,1006,1201,1,Marathon Match 86,2/23/2015,279,1,,0
Rajpurohit,,,,,,0,0,0,,,,,,,,,279,0,,0
ainu7,2774,32,31.15625,19.90625,1,5,16,23,2,99.2832,317,795,2828,1,2014 TCO Final,11/17/2014,279,3,,0
rst9288,,,,,,0,0,0,,,,,,,,,279,0,,0
fujiyama,1610,9,67,2,4,0,1,1,,,281,1609,1728,,TCO10 Round 2,6/23/2010,279,0,,0
xiaoruby,,,,,,0,0,0,,,,,,,,,279,0,,0
fugusuki,1626,6,16,9.166666667,6,0,0,2,51,81.7204,227,1538,1693,9,Active Molecules,12/29/2014,279,26,,0
