ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent
mmViewProblem,16359: BannerRegistration,T-Masaaki,Japan,20150305,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,TMALBONPH,Philippines,20150304,15,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,TahaMahmoud,Egypt,20150302,13,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,TahaMahmoud,Egypt,20150303,18,1,1,16359,16359,0,0
mmViewProblem,16359: BannerRegistration,Taquion,Bolivia,20150303,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Tokiru,Russia,20150305,1,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,Tokiru,Russia,20150305,13,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,Tokiru,Russia,20150305,14,5,1,81795,16359,0,0
mmViewProblem,16359: BannerRegistration,ToughG,United States,20150302,19,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Tqup3,France,20150303,5,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,TrePe,Slovakia,20150305,1,3,2,49077,16359,2,1.5
mmViewProblem,16359: BannerRegistration,Uchigle,Japan,20150304,2,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Uchigle,Japan,20150304,6,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Uchigle,Japan,20150305,12,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,VArt,Russia,20150303,9,3,1,49077,16359,1,3
mmViewProblem,16359: BannerRegistration,V[i]ctor,Russia,20150304,18,2,2,32718,16359,2,1
mmViewProblem,16359: BannerRegistration,V[i]ctor,Russia,20150305,10,1,1,16359,16359,1,1
mmViewProblem,16359: BannerRegistration,Vardan(RAU),Armenia,20150305,1,2,1,32718,16359,1,2
mmViewProblem,16359: BannerRegistration,Venug,Poland,20150305,10,6,1,98154,16359,1,6
mmViewProblem,16359: BannerRegistration,Vetteru,Japan,20150303,4,7,1,114513,16359,1,7
mmViewProblem,16359: BannerRegistration,Vetteru,Japan,20150303,5,4,2,65436,16359,1,4
mmViewProblem,16359: BannerRegistration,WTrei,Germany,20150303,9,1,1,16359,16359,1,1
