ga:eventCategory,ga:eventAction,ga:eventLabel,ga:country,ga:date,ga:hour,ga:pagePath,ga:totalEvents,ga:uniqueEvents,ga:eventValue,ga:avgEventValue,ga:sessionsWithEvent,ga:eventsPerSessionWithEvent,ga:timeOnPage
mmViewProblem,16359: BannerRegistration,Mojito1,Luxembourg,20150305,2,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Monchi,Spain,20150303,10,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,MonicaMuranyi,Romania,20150303,5,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,6,1,97557,16259.5,1,6,0
mmViewProblem,16359: BannerRegistration,MostafaSaeed,Egypt,20150305,6,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Mozartted,India,20150303,15,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Mril284,United States,20150304,11,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&compid=47092&popup=false,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Mril284,United States,20150304,11,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,1,58534,14633.5,1,4,0
mmViewProblem,16359: BannerRegistration,Mukundha_G,United States,20150303,0,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Nadafy,United States,20150303,6,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Nickolas,United States,20150302,13,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,2,58534,14633.5,2,2,0
mmViewProblem,16359: BannerRegistration,Nil_ct,France,20150304,18,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Nil_ct,France,20150306,16,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&compid=47092,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Nil_ct,France,20150306,16,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,5,1,78045,15609,1,5,0
mmViewProblem,16359: BannerRegistration,NotAdam,Australia,20150304,17,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,PaxosMyth,India,20150304,6,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&compid=47092&popup=false,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,PaxosMyth,India,20150304,6,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,4,1,58534,14633.5,1,4,0
mmViewProblem,16359: BannerRegistration,Pena,Finland,20150305,8,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&compid=47092&rd=16359,2,1,39023,19511.5,1,2,0
mmViewProblem,16359: BannerRegistration,PredictorX,United States,20150302,15,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Progyr,United Arab Emirates,20150304,4,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,1,1,19511,19511,1,1,0
mmViewProblem,16359: BannerRegistration,Proud2BACoug,United States,20150305,17,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&compid=47092,1,1,19511,19511,0,0,0
mmViewProblem,16359: BannerRegistration,Proud2BACoug,United States,20150305,17,'/community.topcoder.com/longcontest/?module=ViewProblemStatement&rd=16359&pm=13677,5,2,78045,15609,2,2.5,0
