ga:eventCategory	ga:eventLabel	ga:eventAction	ga:date	ga:eventValue
mmViewProblem	bohuss	16359: BannerRegistration	20150302	32718
mmViewProblem	bohuss	16359: BannerRegistration	20150304	16359
mmViewProblem	bohuss	16359: BannerRegistration	20150306	32718
mmViewProblem	boopalanj	16359: BannerRegistration	20150305	114513
mmViewProblem	boopalanj	16359: BannerRegistration	20150306	16359
mmViewProblem	c7d5a6	16359: BannerRegistration	20150303	81795
mmViewProblem	cannab	16359: BannerRegistration	20150305	65436
mmViewProblem	cant_dance	16359: BannerRegistration	20150303	49077
mmViewProblem	carushi	16359: BannerRegistration	20150303	16359
mmViewProblem	caustique	16359: BannerRegistration	20150304	65436
mmViewProblem	cgt03	16359: BannerRegistration	20150305	16359
mmViewProblem	chandan047	16359: BannerRegistration	20150303	32718
mmViewProblem	chandanakiti	16359: BannerRegistration	20150303	16359
mmViewProblem	cheaps	16359: BannerRegistration	20150302	16359
mmViewProblem	chengweichi	16359: BannerRegistration	20150305	114513
mmViewProblem	chicapi	16359: BannerRegistration	20150302	49077
mmViewProblem	chicapi	16359: BannerRegistration	20150303	16359
mmViewProblem	chok68	16359: BannerRegistration	20150303	16359
mmViewProblem	chris312	16359: BannerRegistration	20150305	16359
mmViewProblem	chunktri	16359: BannerRegistration	20150304	16359
mmViewProblem	claudiobellei	16359: BannerRegistration	20150302	16359
mmViewProblem	cmaher	16359: BannerRegistration	20150302	16359
mmViewProblem	cmparish	16359: BannerRegistration	20150303	16359
mmViewProblem	codingdrone	16359: BannerRegistration	20150305	16359
mmViewProblem	crazygo	16359: BannerRegistration	20150304	81795
mmViewProblem	ctrucza	16359: BannerRegistration	20150303	49077
mmViewProblem	ctrucza	16359: BannerRegistration	20150305	16359
mmViewProblem	cubixguy77	16359: BannerRegistration	20150304	49077
mmViewProblem	cxz2004	16359: BannerRegistration	20150304	32718
mmViewProblem	cyril.v	16359: BannerRegistration	20150303	65436
mmViewProblem	d_jash	16359: BannerRegistration	20150303	81795
mmViewProblem	d_jash	16359: BannerRegistration	20150304	32718
mmViewProblem	d_jash	16359: BannerRegistration	20150305	16359
mmViewProblem	daga_sumit	16359: BannerRegistration	20150303	49077
mmViewProblem	danbanica	16359: BannerRegistration	20150303	65436
mmViewProblem	danbanica	16359: BannerRegistration	20150305	16359
mmViewProblem	darol	16359: BannerRegistration	20150303	16359
mmViewProblem	dastaan1990	16359: BannerRegistration	20150305	16359
mmViewProblem	daviduarte	16359: BannerRegistration	20150304	49077
mmViewProblem	dbgriffith01	16359: BannerRegistration	20150304	16359
mmViewProblem	ddrsmile	16359: BannerRegistration	20150304	16359
mmViewProblem	deepak.pucsd	16359: BannerRegistration	20150304	16359
mmViewProblem	defatigue	16359: BannerRegistration	20150305	65436
mmViewProblem	delabourdonnais	16359: BannerRegistration	20150303	16359
mmViewProblem	dexy	16359: BannerRegistration	20150303	16359
mmViewProblem	dhbellol	16359: BannerRegistration	20150305	32718
mmViewProblem	dhruvkalaria	16359: BannerRegistration	20150305	16359
mmViewProblem	didi_baga	16359: BannerRegistration	20150303	32718
mmViewProblem	dilip.thapa	16359: BannerRegistration	20150304	98154
mmViewProblem	dima_pp	16359: BannerRegistration	20150303	32718
mmViewProblem	dimonica	16359: BannerRegistration	20150303	16359
mmViewProblem	dkaai	16359: BannerRegistration	20150305	16359
mmViewProblem	dkotlyarov	16359: BannerRegistration	20150303	16359
mmViewProblem	doudouille	16359: BannerRegistration	20150305	32718
mmViewProblem	drewxiu	16359: BannerRegistration	20150304	16359
mmViewProblem	eatingpeaches	16359: BannerRegistration	20150305	16359
mmViewProblem	ecv	16359: BannerRegistration	20150303	32718
mmViewProblem	ecv	16359: BannerRegistration	20150304	16359
mmViewProblem	emanuele.vespa	16359: BannerRegistration	20150304	16359
mmViewProblem	f1zz0_13	16359: BannerRegistration	20150305	65436
mmViewProblem	faeton	16359: BannerRegistration	20150304	16359
mmViewProblem	fanff	16359: BannerRegistration	20150303	32718
mmViewProblem	fazam	16359: BannerRegistration	20150305	65436
mmViewProblem	feather	16359: BannerRegistration	20150304	65436
mmViewProblem	fizzicks	16359: BannerRegistration	20150305	49077
mmViewProblem	fjardon	16359: BannerRegistration	20150304	16359
mmViewProblem	foota	16359: BannerRegistration	20150304	16359
mmViewProblem	foota	16359: BannerRegistration	20150305	16359
mmViewProblem	fugusuki	16359: BannerRegistration	20150306	16359
mmViewProblem	ggamble0322	16359: BannerRegistration	20150302	16359
mmViewProblem	ggamble0322	16359: BannerRegistration	20150303	16359
mmViewProblem	ghenriques	16359: BannerRegistration	20150304	16359
mmViewProblem	gkeesh7	16359: BannerRegistration	20150305	16359
mmViewProblem	gokul_praveen	16359: BannerRegistration	20150305	16359
mmViewProblem	goldfinch	16359: BannerRegistration	20150302	16359
mmViewProblem	gurucodes	16359: BannerRegistration	20150304	16359
mmViewProblem	gutoo	16359: BannerRegistration	20150303	163590
mmViewProblem	guy777	16359: BannerRegistration	20150302	16359
mmViewProblem	guy777	16359: BannerRegistration	20150303	16359
mmViewProblem	h.ik	16359: BannerRegistration	20150304	16359
mmViewProblem	h0rm1	16359: BannerRegistration	20150304	65436
mmViewProblem	hadisotudeh1992	16359: BannerRegistration	20150305	49077
mmViewProblem	haraduka	16359: BannerRegistration	20150302	65436
mmViewProblem	haraduka	16359: BannerRegistration	20150303	16359
mmViewProblem	haraduka	16359: BannerRegistration	20150305	49077
mmViewProblem	harryprince	16359: BannerRegistration	20150304	32718
mmViewProblem	harryprince	16359: BannerRegistration	20150305	16359
mmViewProblem	harshaneelhg	16359: BannerRegistration	20150305	147231
mmViewProblem	hhoomn	16359: BannerRegistration	20150305	16359
mmViewProblem	hikerclimb	16359: BannerRegistration	20150302	16359
mmViewProblem	hired777	16359: BannerRegistration	20150303	114513
mmViewProblem	hired777	16359: BannerRegistration	20150304	16359
mmViewProblem	hokekyo1210	16359: BannerRegistration	20150306	65436
mmViewProblem	hoshi524	16359: BannerRegistration	20150303	16359
mmViewProblem	hrishy	16359: BannerRegistration	20150304	16359
mmViewProblem	htzfun	16359: BannerRegistration	20150304	16359
mmViewProblem	igraphic	16359: BannerRegistration	20150303	49077
mmViewProblem	iiitaboy	16359: BannerRegistration	20150305	16359
mmViewProblem	impatient23	16359: BannerRegistration	20150303	16359
mmViewProblem	imwilly37	16359: BannerRegistration	20150304	114513
